"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","0"
"0","","0","Login","1","0","negative scenarios","0"
"0","","0","Login","1","0","happy scenarios","0"
