"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8943","test_end_2_end[firefox]","tests.UI","Thu May 08 09:47:40 GMT 2025","passed","Thu May 08 09:47:49 GMT 2025","","test_e2e","",""
"","3666","Login with locked out","tests.UI","Thu May 08 09:47:49 GMT 2025","passed","Thu May 08 09:47:53 GMT 2025","","test_negative","",""
"","5622","test_sanity_login[firefox]","tests.UI","Thu May 08 09:47:53 GMT 2025","passed","Thu May 08 09:47:58 GMT 2025","","test_sanity","",""
